text,label
"Security Alert: unusual sign in activity detected Congratulations, you have been selected to receive a prize. Claim your reward now by entering your bank account number and social security number.",phishing
"Tax refund pending, verify your identity Kindly revert with your login credentials so we can do the needful and restore your mailbox access before it expires.",phishing
"Lunch this Friday? Welcome to the team, we are excited to have you. Your laptop and accounts should be set up by Monday.",legit
Urgent: Verify your account now Kindly revert with your login credentials so we can do the needful and restore your mailbox access before it expires.,phishing
"Re: Wire transfer request, please action urgently Please find attached invoice. Wire transfer must be completed within 24 hours to avoid penalty fees. Use bitcoin for faster processing.",phishing
Your order has shipped Reminder to submit your timesheet by end of day today so payroll can process everything on time.,legit
"Urgent: Verify your account now Act now, this offer expires soon. Update your billing information by clicking the link to avoid service suspension.",phishing
Confirm your password within 24 hours Kindly revert with your login credentials so we can do the needful and restore your mailbox access before it expires.,phishing
"Your Netflix payment failed, update card details We detected a sign in attempt from an unknown device. If this was not you, verify your identity now or your account will be permanently closed.",phishing
"Newsletter: company updates for June Thanks again for your help yesterday, it really made a difference for the launch.",legit
"Quarterly report draft attached Thanks again for your help yesterday, it really made a difference for the launch.",legit
Notes from today's standup Your order has shipped and should arrive within 3 to 5 business days. Thanks for your purchase.,legit
"Security Alert: unusual sign in activity detected Congratulations, you have been selected to receive a prize. Claim your reward now by entering your bank account number and social security number.",phishing
Quarterly report draft attached Here are the notes from today's standup. Please review and let me know if I missed anything important.,legit
Quarterly report draft attached Here are the notes from today's standup. Please review and let me know if I missed anything important.,legit
"Question about the budget spreadsheet Hi, attached is the draft of the quarterly report. Let me know if you have any comments before Friday.",legit
"Your account has been suspended We detected a sign in attempt from an unknown device. If this was not you, verify your identity now or your account will be permanently closed.",phishing
"Confirm your password within 24 hours We detected a sign in attempt from an unknown device. If this was not you, verify your identity now or your account will be permanently closed.",phishing
"Dear customer, your account will be closed Kindly revert with your login credentials so we can do the needful and restore your mailbox access before it expires.",phishing
Project status update for this week Your order has shipped and should arrive within 3 to 5 business days. Thanks for your purchase.,legit
"Newsletter: company updates for June Thanks again for your help yesterday, it really made a difference for the launch.",legit
"Your package could not be delivered, click to reschedule Dear customer, we noticed unusual activity on your account. Click here to verify your identity immediately or your account will be suspended within 24 hours.",phishing
"HR Notice: update your direct deposit information We detected a sign in attempt from an unknown device. If this was not you, verify your identity now or your account will be permanently closed.",phishing
"Quarterly report draft attached Welcome to the team, we are excited to have you. Your laptop and accounts should be set up by Monday.",legit
"Welcome to the team Hey, are you free for lunch this Friday? Thinking about trying the new place down the street.",legit
"Question about the budget spreadsheet Hi team, just a quick note that our meeting tomorrow has moved to 3pm in the main conference room. See you there.",legit
Confirm your password within 24 hours Kindly revert with your login credentials so we can do the needful and restore your mailbox access before it expires.,phishing
"Welcome to the team Hi, attached is the draft of the quarterly report. Let me know if you have any comments before Friday.",legit
"Confirm your password within 24 hours Congratulations, you have been selected to receive a prize. Claim your reward now by entering your bank account number and social security number.",phishing
"Question about the budget spreadsheet Hi team, just a quick note that our meeting tomorrow has moved to 3pm in the main conference room. See you there.",legit
"Feedback on the design document Thanks again for your help yesterday, it really made a difference for the launch.",legit
"Final notice: invoice overdue, pay immediately Act now, this offer expires soon. Update your billing information by clicking the link to avoid service suspension.",phishing
Welcome to the team Attached is the updated travel itinerary for next week's conference. Let me know if anything needs to change.,legit
Confirm your password within 24 hours Kindly revert with your login credentials so we can do the needful and restore your mailbox access before it expires.,phishing
"Project status update for this week Quick question on the budget spreadsheet, can you confirm the numbers in row 12 before we send it out.",legit
"HR Notice: update your direct deposit information Act now, this offer expires soon. Update your billing information by clicking the link to avoid service suspension.",phishing
"IT Support: your mailbox is full, click here Kindly revert with your login credentials so we can do the needful and restore your mailbox access before it expires.",phishing
"Your package could not be delivered, click to reschedule We detected a sign in attempt from an unknown device. If this was not you, verify your identity now or your account will be permanently closed.",phishing
"IT Support: your mailbox is full, click here Your account has been limited. To restore full access please confirm your password and billing details by clicking the secure link below.",phishing
"Your Netflix payment failed, update card details Please find attached invoice. Wire transfer must be completed within 24 hours to avoid penalty fees. Use bitcoin for faster processing.",phishing
"Your Netflix payment failed, update card details This is your final notice. Your invoice is overdue. Please make payment immediately using the gift card codes listed below to avoid legal action.",phishing
"Conference room booking confirmation Hey, are you free for lunch this Friday? Thinking about trying the new place down the street.",legit
Your account has been suspended Your account has been limited. To restore full access please confirm your password and billing details by clicking the secure link below.,phishing
"Final notice: invoice overdue, pay immediately Dear customer, we noticed unusual activity on your account. Click here to verify your identity immediately or your account will be suspended within 24 hours.",phishing
Project status update for this week Your order has shipped and should arrive within 3 to 5 business days. Thanks for your purchase.,legit
"Security Alert: unusual sign in activity detected Congratulations, you have been selected to receive a prize. Claim your reward now by entering your bank account number and social security number.",phishing
"HR Notice: update your direct deposit information Act now, this offer expires soon. Update your billing information by clicking the link to avoid service suspension.",phishing
"Your Netflix payment failed, update card details Kindly revert with your login credentials so we can do the needful and restore your mailbox access before it expires.",phishing
"Your order has shipped Hi team, just a quick note that our meeting tomorrow has moved to 3pm in the main conference room. See you there.",legit
Feedback on the design document Attached is the updated travel itinerary for next week's conference. Let me know if anything needs to change.,legit
Confirm your password within 24 hours Please find attached invoice. Wire transfer must be completed within 24 hours to avoid penalty fees. Use bitcoin for faster processing.,phishing
"Thanks for your help yesterday Welcome to the team, we are excited to have you. Your laptop and accounts should be set up by Monday.",legit
"HR Notice: update your direct deposit information Dear customer, we noticed unusual activity on your account. Click here to verify your identity immediately or your account will be suspended within 24 hours.",phishing
"Welcome to the team Hey, are you free for lunch this Friday? Thinking about trying the new place down the street.",legit
"Dear customer, your account will be closed Act now, this offer expires soon. Update your billing information by clicking the link to avoid service suspension.",phishing
"Your account has been suspended We detected a sign in attempt from an unknown device. If this was not you, verify your identity now or your account will be permanently closed.",phishing
Team meeting moved to 3pm tomorrow Your order has shipped and should arrive within 3 to 5 business days. Thanks for your purchase.,legit
"Quarterly report draft attached Hi, attached is the draft of the quarterly report. Let me know if you have any comments before Friday.",legit
"Re: Wire transfer request, please action urgently Your package delivery failed. Click here to reschedule and confirm your payment information to release the parcel from customs.",phishing
"IT Support: your mailbox is full, click here Kindly revert with your login credentials so we can do the needful and restore your mailbox access before it expires.",phishing
"Project status update for this week Thanks again for your help yesterday, it really made a difference for the launch.",legit
